Column Name,Explanation
breaker 1 (red),Breaker 1 name
breaker 2 (blue),Breaker 2 name
winner,winner
battle rounds,Number of rounds
number of judges,number of judges
breaker 1 round wins,breaker 1 num of rounds won
breaker 2 round wins,breaker 2 number of rounds won
breaker 1 vote count,breater 1 total vote count
breaker 2 vote count,breaker 2 total vote count
judge 1 name,judge 1 name
judge 2 name,judge 2 name
judge 3 name,judge 3 name
judge 4 name,judge 4 name
judge 5 name,judge 5 name
judge 6 name,judge 6 name
judge 7 name,judge 7 name
judge 8 name,judge 8 name
judge 9 name,judge 9 name
r1j1over,round 1 judge 1 overall score
r1j1tech,round 1 judge 1 Technique
r1j1vari,round 1 judge 1 variety
r1j1perf,round1 judge 1 performance
r1j1musi,round 1 judge 1 musicality
r1j1crea,round 1 judge 1 creativity
r1j1pers,round 1 judge 1 personality
r1j1but1,round 1 judge 1 button 1
r1j1but2,round 1 judge 1 button 2
r1j2over,Round 1 Judge 2 Overall Score
r1j2tech,Round 1 Judge 2 Technique
r1j2vari,Round 1 Judge 2 Variety
r1j2perf,Round 1 Judge 2 Performance
r1j2musi,Round 1 Judge 2 Musicality
r1j2crea,Round 1 Judge 2 Creativity
r1j2pers,Round 1 Judge 2 Personality
r1j2but1,Round 1 Judge 2 Button 1
r1j2but2,Round 1 Judge 2 Button 2
r1j3over,Round 1 Judge 3 Overall Score
r1j3tech,Round 1 Judge 3 Technique
r1j3vari,Round 1 Judge 3 Variety
r1j3perf,Round 1 Judge 3 Performance
r1j3musi,Round 1 Judge 3 Musicality
r1j3crea,Round 1 Judge 3 Creativity
r1j3pers,Round 1 Judge 3 Personality
r1j3but1,Round 1 Judge 3 Button 1
r1j3but2,Round 1 Judge 3 Button 2
r1j4over,Round 1 Judge 4 Overall Score
r1j4tech,Round 1 Judge 4 Technique
r1j4vari,Round 1 Judge 4 Variety
r1j4perf,Round 1 Judge 4 Performance
r1j4musi,Round 1 Judge 4 Musicality
r1j4crea,Round 1 Judge 4 Creativity
r1j4pers,Round 1 Judge 4 Personality
r1j4but1,Round 1 Judge 4 Button 1
r1j4but2,Round 1 Judge 4 Button 2
r1j5over,Round 1 Judge 5 Overall Score
r1j5tech,Round 1 Judge 5 Technique
r1j5vari,Round 1 Judge 5 Variety
r1j5perf,Round 1 Judge 5 Performance
r1j5musi,Round 1 Judge 5 Musicality
r1j5crea,Round 1 Judge 5 Creativity
r1j5pers,Round 1 Judge 5 Personality
r1j5but1,Round 1 Judge 5 Button 1
r1j5but2,Round 1 Judge 5 Button 2
r1j6over,Round 1 Judge 6 Overall Score
r1j6tech,Round 1 Judge 6 Technique
r1j6vari,Round 1 Judge 6 Variety
r1j6perf,Round 1 Judge 6 Performance
r1j6musi,Round 1 Judge 6 Musicality
r1j6crea,Round 1 Judge 6 Creativity
r1j6pers,Round 1 Judge 6 Personality
r1j6but1,Round 1 Judge 6 Button 1
r1j6but2,Round 1 Judge 6 Button 2
r1j7over,Round 1 Judge 7 Overall Score
r1j7tech,Round 1 Judge 7 Technique
r1j7vari,Round 1 Judge 7 Variety
r1j7perf,Round 1 Judge 7 Performance
r1j7musi,Round 1 Judge 7 Musicality
r1j7crea,Round 1 Judge 7 Creativity
r1j7pers,Round 1 Judge 7 Personality
r1j7but1,Round 1 Judge 7 Button 1
r1j7but2,Round 1 Judge 7 Button 2
r1j8over,Round 1 Judge 8 Overall Score
r1j8tech,Round 1 Judge 8 Technique
r1j8vari,Round 1 Judge 8 Variety
r1j8perf,Round 1 Judge 8 Performance
r1j8musi,Round 1 Judge 8 Musicality
r1j8crea,Round 1 Judge 8 Creativity
r1j8pers,Round 1 Judge 8 Personality
r1j8but1,Round 1 Judge 8 Button 1
r1j8but2,Round 1 Judge 8 Button 2
r1j9over,Round 1 Judge 9 Overall Score
r1j9tech,Round 1 Judge 9 Technique
r1j9vari,Round 1 Judge 9 Variety
r1j9perf,Round 1 Judge 9 Performance
r1j9musi,Round 1 Judge 9 Musicality
r1j9crea,Round 1 Judge 9 Creativity
r1j9pers,Round 1 Judge 9 Personality
r1j9but1,Round 1 Judge 9 Button 1
r1j9but2,Round 1 Judge 9 Button 2
r2j1over,Round 2 Judge 1 Overall Score
r2j1tech,Round 2 Judge 1 Technique
r2j1vari,Round 2 Judge 1 Variety
r2j1perf,Round 2 Judge 1 Performance
r2j1musi,Round 2 Judge 1 Musicality
r2j1crea,Round 2 Judge 1 Creativity
r2j1pers,Round 2 Judge 1 Personality
r2j1but1,Round 2 Judge 1 Button 1
